,Country,Lat,Long,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1,continent,color,daily_conf,daily_death,daily_recovered,daily_conf_f,daily_recovered_f,daily_death_f
923,Australia,-255.9695,1129.8623,2020-01-27,5,0,0,5,0,0,1.722163057360357,Oceania,green,1.0,0.0,0.0,1,0,0
1000,Japan,36.0,138.0,2020-01-27,4,0,1,4,1,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1004,South Korea,36.0,128.0,2020-01-27,4,0,0,4,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
1216,Nepal,28.1667,84.25,2020-01-28,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1203,Malaysia,2.5,112.5,2020-01-28,4,0,0,4,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1262,Thailand,15.0,101.0,2020-01-28,14,0,5,14,5,0,1.722163057360357,Asia,red,6.0,0.0,3.0,6,3,0
1267,United States of America,37.0902,-95.7129,2020-01-28,5,0,0,5,0,0,1.722163057360357,Americas,navy,0.0,0.0,0.0,0,0,0
1275,Vietnam,16.0,108.0,2020-01-28,2,0,0,2,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1247,Singapore,1.2833,103.8333,2020-01-28,7,0,0,7,0,0,1.722163057360357,Asia,red,2.0,0.0,0.0,2,0,0
1259,Taiwan,23.7,121.0,2020-01-28,8,0,0,8,0,0,1.722163057360357,Asia,red,3.0,0.0,0.0,3,0,0
1254,Sri Lanka,7.0,81.0,2020-01-28,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1128,Cambodia,11.55,104.9167,2020-01-28,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1133,China,1083.3367,3684.4197,2020-01-28,5509,131,101,"5,509",101,131,1.7702515116831579,Asia,red,2632.0,49.0,43.0,"2,632",43,49
1106,Australia,-255.9695,1129.8623,2020-01-28,5,0,0,5,0,0,1.722163057360357,Oceania,green,0.0,0.0,0.0,0,0,0
1183,Japan,36.0,138.0,2020-01-28,7,0,1,7,1,0,1.722163057360357,Asia,red,3.0,0.0,0.0,3,0,0
1162,Germany,51.0,9.0,2020-01-28,4,0,0,4,0,0,1.722163057360357,Europe,orange,3.0,0.0,0.0,3,0,0
